,author
41292,John R. Miller
41293,John R. Nickolls
41294,John R. Nicol
41295,John R. O'Hair
41296,John R. Ockendon
41297,John R. Pilkington
41298,John R. Podlena
41299,John R. Pugh
41300,John R. R. Leavitt
41301,John R. Rankin
41302,John R. Reay
41303,John R. Rice
41304,John R. Samson Jr.
41305,John R. Searle
41306,John R. Smith
41307,John R. Steel
41308,John R. Stembridge
41309,John R. Supra Jr.
41310,John R. Surdu
41311,John R. Svirbely
41312,John R. Talburt
41313,John R. Tanner
41314,John R. Taylor
41315,John R. Townshend
41316,John R. Treichler
41317,John R. Vacca
41318,John R. Venable
41319,John R. Vollbrecht
41320,John R. Votaw
41321,John R. W. Glauert
41322,John R. Westbury
41323,John R. Whiteman
41324,John R. Willems
41325,John R. Wilson
41326,John R. Woodwark
41327,John Rachlin
41328,John Radke
41329,John Rasure
41330,John Redford
41331,John Reid
41332,John Reinitz
41333,John Reynders
41334,John Rheinfrank
41335,John Rhoades
41336,John Rhodes
41337,John Riedl
41338,John Rieman
41339,John Riganati
41340,John Rinzel
41341,John Robert McDonnell
41342,John Robertson
41343,John Robinson
41344,John Rohrbaugh
41345,John Romlein
41346,John Rompel
41347,John Rosbottom
41348,John Rose
41349,John Rosenberg
41350,John Ross
41351,John Roycroft
41352,John Ruggiero
41353,John S. Aberdeen
41354,John S. Banks
41355,John S. Baras
41356,John S. Bay
41357,John S. Bodenschatz
41358,John S. Boreczky
41359,John S. Breese
41360,John S. Bridle
41361,John S. Carson II
41362,John S. Caughman IV
41363,John S. Collura
41364,John S. Conery
41365,John S. Craparo
41366,John S. D. Mason
41367,John S. DaPonte
41368,John S. Denker
41369,John S. Devitt
41370,John S. Edwards
41371,John S. Fitzgerald
41372,John S. Garavelli
41373,John S. Garofolo
41374,John S. Gero
41375,John S. Heidemann
41376,John S. Jeavons
41377,John S. Justeson
41378,John S. Keen
41379,John S. Lew
41380,John S. Liptay
41381,John S. Lowengrub
41382,John S. Mason
41383,John S. Maybee
41384,John S. McCaskill
41385,John S. Pezaris
41386,John S. Pruitt
41387,John S. Quarterman
41388,John S. Risch
41389,John S. Robinson
41390,John S. Sadowsky
41391,John S. Schlipf
41392,John S. Thompson
41393,John S. White
41394,John S. Zelek
41395,John Salerno
41396,John Sapsford-Francis
41397,John Sargeant
41398,John Saunders
41399,John Schewel
41400,John Schwegler
41401,John Seely Brown
41402,John Segers
41403,John Sellens
41404,John Seybold
41405,John Shackell
41406,John Shackleton
41407,John Shalf
41408,John Shawe-Taylor
41409,John Sheehan
41410,John Shepherd
41411,John Sherwood
41412,John Shon
41413,John Shore
41414,John Shunen Shieh
41415,John Sieg Jr.
41416,John Silva
41417,John Simkin
41418,John Sirigos
41419,John Slice
41420,John Smith
41421,John Snell
41422,John Snyder
41423,John Soldatos
41424,John Spinelli
41425,John Staples
41426,John Starmer
41427,John Staudhammer
41428,John Sterling
41429,John Stevens
41430,John Stewart
41431,John Stivoric
41432,John Stokes
41433,John Stone
41434,John Storey
41435,John Strain
41436,John Stuart Harper
41437,John Suler
41438,John Sum
41439,John Swetits
41440,John Sylvester
41441,John T. Baldwin 0001
41442,John T. Barnett
41443,John T. Buchanan
41444,John T. Coffey
41445,John T. Edmark
41446,John T. Favata
41447,John T. Feddema
41448,John T. Foley
41449,John T. Gorgone
41450,John T. Kent
41451,John T. Kohl
41452,John T. Lewis
41453,John T. McHenry
41454,John T. Nosek
41455,John T. O'Donnell
41456,John T. Paxton
41457,John T. Richards
41458,John T. Robinson
41459,John T. Stasko
41460,John T. Stonick
41461,John T. Taylor
41462,John T. Welch
41463,John T. Wen
41464,John Tait
41465,John Tanner
41466,John Taylor
41467,John Taylor 0001
41468,John Taylor 0002
41469,John Theocharis
41470,John Thomas
41471,John Thornley
41472,John Thornton 0001
41473,John Tiffin
41474,John Tillquist
41475,John Timlin
41476,John Ting-Yung Wen
41477,John Todd
41478,John Tromp
41479,John Trushell
41480,John Tsaknakis
41481,John Tsimbinos
41482,John Turek
41483,John Tuthill
41484,John Underkoffler
41485,John V. Carlis
41486,John V. Draper
41487,John V. E. Ridgway
41488,John V. Evans
41489,John V. Franco
41490,John V. Guttag
41491,John V. Harrison
41492,John V. Martonchik
41493,John V. McCanny
41494,John V. Pavlik
41495,John V. Ringwood
41496,John V. Woods
41497,John Van Rosendale
41498,John Van Tassel
41499,John Vergo
41500,John Vert
41501,John Viega
41502,John Visser
41503,John Vittal
41504,John W. Atwood Jr.
41505,John W. Barrett 0001
41506,John W. Barrus
41507,John W. Baugh Jr.
41508,John W. Benoit
41509,John W. Brackett
41510,John W. Buchanan
41511,John W. Byers
41512,John W. C. Fu
41513,John W. Chinneck
41514,John W. Clark
41515,John W. Clark Jr.
41516,John W. Dalle Molle
41517,John W. Daly
41518,John W. Fay
41519,John W. Fisher III
41520,John W. Fowler
41521,John W. Gosbee
41522,John W. Grove
41523,John W. Haller
41524,John W. Havlicek
41525,John W. Henry
41526,John W. Krussel
41527,John W. Lamp
41528,John W. Lloyd
41529,John W. Lockwood
41530,John W. Loonsk
41531,John W. Mamer
41532,John W. McCormick
41533,John W. McDonough
41534,John W. Miller
41535,John W. Milnor
41536,John W. Moon
41537,John W. O'Leary
41538,John W. Olson
41539,John W. Patterson
41540,John W. Perram
41541,John W. Pierre
41542,John W. Priest
41543,John W. Roach
41544,John W. Romein
41545,John W. Rosenthal
41546,John W. Ruge
41547,John W. Satzinger
41548,John W. Seaman
41549,John W. Sheppard
41550,John W. Sias
41551,John W. Smith
41552,John W. Snell
41553,John W. T. Lee
41554,John W. T. Smith
41555,John W. Woods
41556,John Waldron
41557,John Walker
41558,John Washbrook
41559,John Watrous
41560,John Watson
41561,John Wawrzynek
41562,John Weckert
41563,John Wei
41564,John Werth
41565,John Whaley
41566,John White
41567,John Wilkes
41568,John Williams
41569,John Willis
41570,John Wilson
41571,John Woodfill
41572,John Woods
41573,John Wootton
41574,John Wordsworth
41575,John Wray
41576,John Wroclawski
41577,John Wus
41578,John Wyver
41579,John Xingwang Wu
41580,John Y. A. Wang
41581,John Y. Cheung
41582,John Y. Chiang
41583,John Y. Hung
41584,John Y. Lee
41585,John Y. Wei
41586,John Yannis Goulermas
41587,John Yearwood
41588,John Yen
41589,John Yiannis Cotronis
41590,John Yin
41591,John Z. Li
41592,John Z. Lou
41593,John Zaborszky
41594,John Zahorjan
41595,John Zao
41596,John Zeleznikow
41597,John Zucker
41598,John ffitch
41599,John van Bon
41600,John van den Hoven
41601,John-David Wellman
41602,John-Jules Ch. Meyer
41603,John-Luc Bakker
41604,John-Paul Hosom
41605,John-Thones Amenyo
41606,Johnette Hassell
41607,Johnnie W. Baker
41608,Johnny A. Johannessen
41609,Johnny Accot
41610,Johnny C. Ho
41611,Johnny Chen
41612,Johnny Chu
41613,Johnny Holmberg
41614,Johnny Mariéthoz
41615,Johnny S. K. Wong
41616,Johnny S. Wong
41617,Johnny W. Wong
41618,Johnny Wong
41619,Johnny Öberg
41620,Johnson I. Agbinya
41621,Johnson Kin
41622,Johnson Lee
41623,Johnson M. Hart
41624,Johnson P. Thomas
41625,Johnston Paul Wray
41626,Johny Bond
41627,Joke Dorrepaal
41628,Joke G. Blom
41629,Joke van de Plassche
41630,Jolanda G. Tromp
41631,Jolene Galegher
41632,Jolene Schwertfeger
41633,Joline Morrison
41634,Jolita Ralyté
41635,Jolly Chen
41636,Jolyon A. Browne
41637,Jomi Fred Hübner
41638,Jon A. Elorriaga
41639,Jon A. Lind
41640,Jon A. Preston
41641,Jon A. Solworth
41642,Jon A. Thompson
41643,Jon A. Turner
41644,Jon A. Webb
41645,Jon Appleton
41646,Jon Atle Gulla
41647,Jon Atli Benediktsson
41648,Jon B. Weissman
41649,Jon Baker
41650,Jon Barker
41651,Jon Barwise
41652,Jon Bosak
41653,Jon Brunvoll
41654,Jon C. Helton
41655,Jon C. Kieffer
41656,Jon C. Muzio
41657,Jon C. R. Bennett
41658,Jon Christensen
41659,Jon Crowcroft
41660,Jon D. Valett
41661,Jon Damon Reese
41662,Jon David
41663,Jon Dehn
41664,Jon Doyle
41665,Jon Dron
41666,Jon Finke
41667,Jon G. Hall
41668,Jon G. Kuhl
41669,Jon G. Riecke
41670,Jon G. Rokne
41671,Jon Hamkins
41672,Jon Hartwick
41673,Jon Heales
41674,Jon Hindmarsh
41675,Jon Howell
41676,Jon Inouye
41677,Jon Iturrioz
41678,Jon J. Camp
41679,Jon K. Lexau
41680,Jon Kieffer
41681,Jon L. White
41682,Jon Leachtenauer
41683,Jon Lee 0001
41684,Jon Louis Bentley
41685,Jon M. Kerridge
41686,Jon M. Kleinberg
41687,Jon M. Peha
41688,Jon M. Slack
41689,Jon Mason
41690,Jon Mauney
41691,Jon May
41692,Jon Mellott
41693,Jon Meyer
41694,Jon Mountjoy
41695,Jon Nichol
41696,Jon O'Brien
41697,Jon Oberlander
41698,Jon Ogborn
41699,Jon Oldevik
41700,Jon P. Ewins
41701,Jon P. Iles
41702,Jon Patrick
41703,Jon Postel
41704,Jon R. Hill
41705,Jon R. Wright
41706,Jon Rowe
41707,Jon Rowson
41708,Jon Saperia
41709,Jon Siegel
41710,Jon Sims Williams
41711,Jon Sporring
41712,Jon Sticklen
41713,Jon Stockwood
41714,Jon T. Butler
41715,Jon Turino
41716,Jon W. Dunn
41717,Jon W. Mark
41718,Jon W. Tolle
41719,Jon Wallis
41720,Jon Whittle
41721,Jon Y. Hardeberg
41722,Jon Yamron
41723,Jon Yngve Hardeberg
41724,Jon Ølnes
41725,Jon-Arild Johannessen
41726,Jonah Z. Lavi
41727,Jonas August
41728,Jonas Barklund
41729,Jonas Beskow
41730,Jonas Gomes
41731,Jonas Gårding
41732,Jonas Holmerin
41733,Jonas Kuhn
41734,Jonas Kvarnström
41735,Jonas Löwgren
41736,Jonas Mellin
41737,Jonas Mockus
41738,Jonas Nygårds
41739,Jonas S. Karlsson
41740,Jonas Sjöberg
41741,Jonas Skeppstedt
41742,Jonas Strandell
41743,Jonas Vasell
41744,Jonathan A. Marshall
41745,Jonathan A. Rhoades
41746,Jonathan A. Sherratt
41747,Jonathan Abbey
41748,Jonathan Allen
41749,Jonathan Arnold
41750,Jonathan Aronson
41751,Jonathan Aseltine
41752,Jonathan Ashley
41753,Jonathan Audet
41754,Jonathan B. Postel
41755,Jonathan Babb
41756,Jonathan Bachrach
41757,Jonathan Baldwin
41758,Jonathan Barzilai
41759,Jonathan Baxter
41760,Jonathan Berger
41761,Jonathan Billington
41762,Jonathan Brassow
41763,Jonathan C. Borg
41764,Jonathan C. Hardwick
41765,Jonathan C. Herzog
41766,Jonathan C. L. Liu
41767,Jonathan C. Lu
41768,Jonathan C. Martin
41769,Jonathan C. Owen
41770,Jonathan C. Silverstein
41771,Jonathan Cagan
41772,Jonathan Chan
41773,Jonathan Cohen
41774,Jonathan Cole Smith
41775,Jonathan Connell
41776,Jonathan Cook
41777,Jonathan Coopersmith
41778,Jonathan Crabtree
41779,Jonathan Crellin
41780,Jonathan D. Becher
41781,Jonathan D. Bright
41782,Jonathan D. Cohen
41783,Jonathan D. Fouss
41784,Jonathan D. H. Smith
41785,Jonathan D. Hirst
41786,Jonathan D. Michel
41787,Jonathan D. Moffett
41788,Jonathan D. Rosenberg
41789,Jonathan Dale
41790,Jonathan David Farley
41791,Jonathan DeMarrais
41792,Jonathan E. Cook
41793,Jonathan E. Luntz
41794,Jonathan E. Rowe
41795,Jonathan Eckstein
41796,Jonathan Eifrig
41797,Jonathan F. Bard
41798,Jonathan F. Buss
41799,Jonathan Foote
41800,Jonathan Freeman
41801,Jonathan Furner
41802,Jonathan G. Campbell
41803,Jonathan G. Fiscus
41804,Jonathan G. Goldin
41805,Jonathan G. Rossie Jr.
41806,Jonathan Gavrin
41807,Jonathan Geisler
41808,Jonathan Geist
41809,Jonathan Gibbs
41810,Jonathan Giddy
41811,Jonathan Goldstein
41812,Jonathan Goldstine
41813,Jonathan Graehl
41814,Jonathan Grande
41815,Jonathan Gratch
41816,Jonathan Gray
41817,Jonathan Grudin
41818,Jonathan H. Connell
41819,Jonathan H. Fernyhough
41820,Jonathan H. Gross
41821,Jonathan H. Klein
41822,Jonathan H. Manton
41823,Jonathan Hamaker
41824,Jonathan Hammond
41825,Jonathan Harrington
41826,Jonathan Harris
41827,Jonathan Helfman
41828,Jonathan Hong
41829,Jonathan Huang
41830,Jonathan I. Maletic
41831,Jonathan J. Ashley
41832,Jonathan J. Benn
41833,Jonathan J. Cadiz
41834,Jonathan J. Hull
41835,Jonathan J. Oliver
41836,Jonathan J. Webster
41837,Jonathan Jacky
41838,Jonathan Jedwab
41839,Jonathan K. Kies
41840,Jonathan K. Millen
41841,Jonathan K. Riek
41842,Jonathan K. Su
41843,Jonathan Katz
41844,Jonathan Klein
41845,Jonathan L. Gross
41846,Jonathan L. Herlocker
41847,Jonathan L. Ostwald
41848,Jonathan L. Schilling
41849,Jonathan L. Shapiro
41850,Jonathan L. Wang
41851,Jonathan Lawry
41852,Jonathan Lee
41853,Jonathan Lee 0001
41854,Jonathan Lennox
41855,Jonathan Liebenau
41856,Jonathan Ling
41857,Jonathan M. Borwein
41858,Jonathan M. Cameron
41859,Jonathan M. Cohen
41860,Jonathan M. D. Hill
41861,Jonathan M. Garibaldi
41862,Jonathan M. Huntley
41863,Jonathan M. Kaye
41864,Jonathan M. Lawn
41865,Jonathan M. Lever
41866,Jonathan M. Nash
41867,Jonathan M. Pitts
41868,Jonathan M. Roberts
41869,Jonathan M. Saul
41870,Jonathan M. Smith
41871,Jonathan M. Teich
41872,Jonathan M. Thompson
41873,Jonathan Meyer
41874,Jonathan Miller
41875,Jonathan N. Bradley
41876,Jonathan Noel Tombs
41877,Jonathan Ophir
41878,Jonathan Orwant
41879,Jonathan P. Allen
41880,Jonathan P. Bowen
41881,Jonathan P. Caulkins
41882,Jonathan P. Gilbert
41883,Jonathan P. How
41884,Jonathan P. Mackenzie
41885,Jonathan P. McCammond
41886,Jonathan P. Moore
41887,Jonathan P. Munson
41888,Jonathan P. Pratt
41889,Jonathan P. R. Lacey
41890,Jonathan P. Seldin
41891,Jonathan P. Sorenson
41892,Jonathan Phillips
41893,Jonathan R. Agre
41894,Jonathan R. Corbett
41895,Jonathan R. Corney
41896,Jonathan R. M. Hosking
41897,Jonathan R. Partington
41898,Jonathan R. Vaughan
41899,Jonathan Rees
41900,Jonathan Richard Shewchuk
41901,Jonathan Robie
41902,Jonathan Robinson
41903,Jonathan Rose
41904,Jonathan Rosenberg
41905,Jonathan Ross
41906,Jonathan S. Einbinder
41907,Jonathan S. Goldick
41908,Jonathan S. Kane
41909,Jonathan S. Kay
41910,Jonathan S. Lewin
41911,Jonathan S. Mason
41912,Jonathan S. Ostroff
41913,Jonathan S. Sandberg
41914,Jonathan S. Shapiro
41915,Jonathan S. Turner
41916,Jonathan S. Yedidia
41917,Jonathan Sandberg
41918,Jonathan Saul
41919,Jonathan Schaeffer
41920,Jonathan Segal
41921,Jonathan Sevy
41922,Jonathan Shade
41923,Jonathan Shapiro
41924,Jonathan Sorenson
41925,Jonathan Steuer
41926,Jonathan Stillman
41927,Jonathan Stone
41928,Jonathan T. Moore
41929,Jonathan T. Trostle
41930,Jonathan T.-Y. Chang
41931,Jonathan Trevor
41932,Jonathan Trower
41933,Jonathan W. Berry
41934,Jonathan W. Brandt
41935,Jonathan W. Bredow
41936,Jonathan W. Essex
41937,Jonathan W. Palmer
41938,Jonathan Walpole
41939,Jonathan Wareham
41940,Jonathan Wayne Mills
41941,Jonathan Wilkenfeld
41942,Jonathan Wray
41943,Jonathan Yackel
41944,Jonathan Yamron
41945,Jonathan Young
41946,Jonathon A. Chambers
41947,Jonathon C. Ralston
41948,Jonathon E. Colburn
41949,Jonathon Tidswell
41950,Jonathon Y. C. Cheah
41951,Jong Beom Ra
41952,Jong C. Park
41953,Jong Chan Lee
41954,Jong Chul Ye
41955,Jong H. Park
41956,Jong Hae Kim
41957,Jong Hwa Won
41958,Jong Hwan Lim
41959,Jong Hyeon Park
41960,Jong Hyo Kim
41961,Jong Hyuk Choi
41962,Jong In Lim
41963,Jong Jin Chae
41964,Jong Kim 0001
41965,Jong Kook Lee
41966,Jong P. Yoon
41967,Jong Park
41968,Jong Seung Park
41969,Jong Soo Kim
41970,Jong Soo Park
41971,Jong Suk Ahn
41972,Jong Won Kim
41973,Jong Won Lee
41974,Jong Won Park
41975,Jong Won Yi
41976,Jong Wook Park
41977,Jong Yeoul Park
41978,Jong Yong Kim
41979,Jong-Chen Chen
41980,Jong-Chuang Tsay
41981,Jong-Deok Choi
41982,Jong-Dug Shin
41983,Jong-Eun Byun
41984,Jong-Eun Ha
41985,Jong-Hak Lee
41986,Jong-Hann Jean
41987,Jong-Ho Paik
41988,Jong-Hoon Oh
41989,Jong-Hoon Youn
41990,Jong-Hwan Kim
41991,Jong-Hwan Kim 0001
41992,Jong-Hyeok Lee
41993,Jong-Hyeon Lee
41994,Jong-Hyun Kim
41995,Jong-Il Kim
41996,Jong-Il Park
41997,Jong-Jy Shyu
41998,Jong-Kae Fwu
41999,Jong-Ki Han
42000,Jong-Kook Kim
42001,Jong-Min Park
42002,Jong-Nam Kim
42003,Jong-Oh Park
42004,Jong-Pyng Li
42005,Jong-Sen Lee
42006,Jong-Seog Koh
42007,Jong-Seok Lee
42008,Jong-Seok Park
42009,Jong-Seon No
42010,Jong-Shi Pang
42011,Jong-Soo Choi
42012,Jong-Sun Kim
42013,Jong-Sung Kim
42014,Jong-Tae Lim
42015,Jong-Tae Park
42016,Jong-Woon Lee
42017,Jong-Yeol Lee
42018,Jong-Yeoul Park
42019,Jong-Yih Kuo
42020,JongHyo Kim
42021,JongMin Lee
42022,JongSuk Choi
42023,JongWon Kim 0001
42024,Jongho Nang
42025,Jongho Won
42026,Jonghoon Chun
42027,Jonghoon Park
42028,Jonghyun Lee
42029,Jonghyun Paik
42030,Jongin Lim
42031,Jongmoo Choi
42032,Jongpil Yoon
42033,Jongseo Sohn
42034,Jongwan Kim
42035,Jongwon Lee
42036,Jongwoo Bae
42037,Jongwoo Kim
42038,Jongwook Kim
42039,Joni da Silva Fraga
42040,Jonny Eriksson
42041,Jonny Farringdon
42042,Jonny Holmström
42043,Jonq Juang
42044,Jont B. Allen
42045,Jonás D. Pfefferman
42046,Joo Eng Lee-Partridge
42047,Joo Kooi Tan
42048,Joo-Hee Moon
42049,Joo-Ho Lee
42050,Joo-Hwee Lim
42051,Joo-Yong Kim
42052,JooSeok Song
42053,Joobin Choobineh
42054,Joohan Lee
42055,Joohun Lee
42056,Joohwan Chun
42057,Joon H. Han
42058,Joon Hee Han
42059,Joon Ho Cho
42060,Joon Ho Lee
42061,Joon Ki Paik
42062,Joon S. Park
42063,Joon Shik Lim
42064,Joon Tae Kim
42065,Joon Woong Lee
42066,Joon-Ho Ha
42067,Joon-Kyung Lee
42068,Joon-Min Gil
42069,Joon-Seek Kim
42070,Joon-Seo Yim
42071,Joon-Soo Lee
42072,Joong-Goo Song
42073,Joong-Sung Kwon
42074,Joongho Choi
42075,Joongmin Choi
42076,Joonhee Yoo
42077,Joonho Lim
42078,Joonhong Lim
42079,Joonoo Kim
42080,Joonshik Yoon
42081,Joonsoo Choi
42082,Joonsuk Kim
42083,Joonwon Lee
42084,Joonyoung Kim
42085,Joop Kerkhoff
42086,Joop S. Duisterhout
42087,Joos Heintz
42088,Joos Vandewalle
42089,Jooshik Lee
42090,Joost Breuker
42091,Joost Engelfriet
42092,Joost N. Kok
42093,Joost P. Warners
42094,Joost Visser
42095,Joost van de Weijer
42096,Joost-Pieter Katoen
42097,Joosun Hahn
42098,Jooyoung Lee 0002
42099,Jooyoung Park
42100,Jop F. Sibeyn
42101,Jordan B. Pollack
42102,Jordan Bonney
42103,Jordan Cohen
42104,Jordan Gergov
42105,Jordan J. Cox
42106,Jordan Lampe
42107,Jordan M. Berg
42108,Jordi Alvarez
42109,Jordi Atserias
42110,Jordi Bataller
42111,Jordi Bonada
42112,Jordi Carrabina
42113,Jordi Casanovas
42114,Jordi Castro
42115,Jordi Cortadella
42116,Jordi Daudé
42117,Jordi Delgado
42118,Jordi Domingo-Pascual
42119,Jordi Forné
42120,Jordi Freixenet
42121,Jordi Garcia
42122,Jordi Herrera-Joancomartí
42123,Jordi J. Mallorquí
42124,Jordi Levy
42125,Jordi Madrenas
42126,Jordi Mestres
42127,Jordi Petit
42128,Jordi Puigsegur
42129,Jordi Rebagliato
42130,Jordi Recasens
42131,Jordi Ribas-Corbera
42132,Jordi Robert-Ribes
42133,Jordi Ros
42134,Jordi Solé i Casals
42135,Jordi Torres
42136,Jordi Tubella
42137,Jordi Turmo
42138,Jordi Vitrià
42139,Jorge A. Gurlekian
42140,Jorge A. O. Bruno
42141,Jorge A. Solsona
42142,Jorge A. Torres-Muñoz
42143,Jorge Almeida 0001
42144,Jorge Alvarez
42145,Jorge Alvarez-Cercadillo
42146,Jorge Angeles
42147,Jorge Arturo Cobb
42148,Jorge B. Bocca
42149,Jorge Badenas
42150,Jorge Batista
42151,Jorge Benitez-Read
42152,Jorge Bernardino
42153,Jorge C. A. de Figueiredo
42154,Jorge C. G. Ramirez
42155,Jorge Cabrera-Gámez
42156,Jorge Calera-Rubio
42157,Jorge Castro
42158,Jorge Chávez Orzáez
42159,Jorge Cruz 0001
42160,Jorge Cuéllar
42161,Jorge Dias 0001
42162,Jorge E. Solomin
42163,Jorge F. Garza
42164,Jorge G. Barbosa
42165,Jorge García-Vidal
42166,Jorge Gasós
42167,Jorge Golowasch
42168,Jorge Graña Gil
42169,Jorge Gálvez
42170,Jorge Haddock
42171,Jorge Henriques
42172,Jorge Horacio Doorn
42173,Jorge J. Moré
42174,Jorge Juan-Chico
42175,Jorge Kinoshita
42176,Jorge L. Aravena
42177,Jorge L. Arocha
42178,Jorge L. C. Sanz
42179,Jorge L. Díaz-Herrera
42180,Jorge L. Martínez
42181,Jorge L. Moiola
42182,Jorge L. Pastor
42183,Jorge L. Ramírez Alfonsín
42184,Jorge L. V. Barbosa
42185,Jorge Lepre
42186,Jorge Llacer
42187,Jorge Lobo 0001
42188,Jorge Luis Villar
42189,Jorge Mari
42190,Jorge Martínez-Bauset
42191,Jorge Moreira de Souza
42192,Jorge Muniz Barreto
42193,Jorge Muruzábal
42194,Jorge Márquez
42195,Jorge Nocedal
42196,Jorge Núñez
42197,Jorge P. Batista
42198,Jorge Paulo F. Simão
42199,Jorge Pinho de Sousa
42200,Jorge Puente
42201,Jorge R. Vera
42202,Jorge Real
42203,Jorge S. Marques
42204,Jorge Santos 0001
42205,Jorge Santos 0002
42206,Jorge Stolfi
42207,Jorge Urrutia
42208,Jorge V. José
42209,Jorge-A. Sanchez-Papaspiliou
42210,Joris Claessens
42211,Joris De Schutter
42212,Joris Groen
42213,Joris S. M. Vergeest
42214,Joris van de Klundert
42215,Joris van der Hoeven
42216,Jorja G. Henikoff
42217,Jorma Kivelä
42218,Jorma Laaksonen
42219,Jorma Laurikkala
42220,Jorma Lilleberg
42221,Jorma Rissanen
42222,Jorma Sajaniemi
42223,Jorma Skyttä
42224,Jorma T. Virtamo
42225,Jorma Taramaa
42226,Jorma Tarhio
42227,Jorn Veenstra
42228,Jorng-Tzong Horng
42229,Jos A. M. Potters
42230,Jos Aarts
42231,Jos B. T. M. Roerdink
42232,Jos C. M. Baeten
42233,Jos Derksen
42234,Jos Dumortier
42235,Jos F. Sturm
42236,Jos H. Weber
42237,Jos Huisken
42238,Jos J. M. Trienekens
42239,Jos Nijhuis
42240,Jos P. M. Lommerse
42241,Jos Schreinemakers
42242,Jos Stam
42243,Jos T. J. van Eijndhoven
42244,Jos Uiterwijk
42245,Jos W. H. M. Uiterwijk
42246,Jos Warmer
42247,Jos van Beers
42248,Jos van Hillegersberg
42249,Jos van Sas
42250,Jos van Wamel
42251,Jose A. García
42252,Jose A. Lay
42253,Jose A. Ventura
42254,Jose Antonio Boluda
42255,Jose B. Cruz Jr.
42256,Jose Cuevas
42257,Jose F. Quesada
42258,Jose Flich
42259,Jose Joaquin Garcia-Luna-Aceves
42260,Jose L. Cordova
42261,Jose L. Milovich
42262,Jose Luis Lisani
42263,Jose Luis Zaccagnini
42264,Jose M. Mantas Ruiz
42265,Jose M. Rodriguez-Garcia
42266,Jose Manuel Corera
42267,Jose Manuel Zurita
42268,Jose Maria Arriola
42269,Jose Maria Elvira
42270,Jose Maria Turull Torres
42271,Jose Molineros
42272,Jose Paumard
42273,Jose Perez Carballo
42274,Jose Renato Santos
42275,Jose Roberto Fernandez
42276,Jose Serrano
42277,Jose Solorzano
42278,Joseba Abaitua
42279,Joseba Urzelai
42280,Josee Desharnais
42281,Josef A. Nossek
42282,Josef Altmann
42283,Josef Bigün
42284,Josef Böhm
42285,Josef Cihlar
42286,Josef Fink
42287,Josef Fleischmann
42288,Josef Fritscher
42289,Josef Fuhl
42290,Josef G. Bauer
42291,Josef Giglmayr
42292,Josef Grosch
42293,Josef Göppert
42294,Josef Heers
42295,Josef Herget
42296,Josef Honerkamp
42297,Josef Hoschek
42298,Josef Hüvelmeyer
42299,Josef Ingenerf
42300,Josef J. Blanz
42301,Josef Johannes Blanz
42302,Josef Kaltwasser
42303,Josef Kittler
42304,Josef Krems
42305,Josef Küng
42306,Josef Lauri
42307,Josef Leydold
42308,Josef Meyer-Fujara
42309,Josef P. Rauschecker
42310,Josef Pauli
42311,Josef Pieprzyk
42312,Josef Plankl
42313,Josef Psutka
42314,Josef Pösl
42315,Josef Scharinger
42316,Josef Schicho
42317,Josef Schiefer
42318,Josef Schmitz
42319,Josef Schneeberger
42320,Josef Schüle
42321,Josef Skrzypek
42322,Josef Sprinzak
42323,Josef Stoer
42324,Josef Tapken
42325,Josef Templ
42326,Josef Voss
42327,Josef Wallmannsberger
42328,Josef Wasel
42329,Josef van Genabith
42330,Josefa Toribio
42331,Josefa Z. Hernández
42332,Josep A. Ródenas
42333,Josep Altet
42334,Josep Amat
42335,Josep Antoni Ramon
42336,Josep Arnal
42337,Josep Domingo-Ferrer
42338,Josep Díaz
42339,Josep Fernández
42340,Josep Fàbrega
42341,Josep Lladós
42342,Josep Llosa
42343,Josep Lluis Usó-Domènech
42344,Josep Lluís Arcos
42345,Josep Lluís Ferrer-Gomila
42346,Josep Lluís de la Rosa
42347,Josep M. Basart
42348,Josep M. Brunat
42349,Josep M. Catot
42350,Josep M. Ferrandiz
42351,Josep M. Ribó Balust
42352,Josep M. Salavedra
42353,Josep M. Sopena
42354,Josep Mangues-Bafalluy
42355,Josep Maria Anglada
42356,Josep Maria Bofill
42357,Josep Maria Font
42358,Josep Maria Garrell i Guiu
42359,Josep Maria Insenser
42360,Josep Mouriño
42361,Josep Paradells
42362,Josep Puyol-Gruart
42363,Josep R. Casas
42364,Josep Ramon Morros
42365,Josep Rifà
42366,Josep Rifà-Coma
42367,Josep Rius
42368,Josep Sala-Alvarez
42369,Josep Samitier
42370,Josep Solé-Pareta
42371,Josep Tornero
42372,Josep Torrellas
42373,Josep Valor
42374,Josep Vehí
42375,Josep Vidal
42376,Josep-Lluís Larriba-Pey
42377,Joseph A. Ball
42378,Joseph A. Bannister
42379,Joseph A. Bonito
42380,Joseph A. Busch
42381,Joseph A. Feustle
42382,Joseph A. Fisher
42383,Joseph A. Frank
42384,Joseph A. Gallian
42385,Joseph A. Goguen
42386,Joseph A. Heim
42387,Joseph A. Insley
42388,Joseph A. Konstan
42389,Joseph A. Morgan
42390,Joseph A. O'Sullivan
42391,Joseph A. Paradiso
42392,Joseph A. Profeta III
42393,Joseph A. Shaw
42394,Joseph A. Spahr
42395,Joseph A. Thas
42396,Joseph Abate
42397,Joseph Achkar
42398,Joseph Aguilar-Martin
42399,Joseph Albert
42400,Joseph Alizon
42401,Joseph B. Costello
